Event_ID,Date,Country,Reason,Action_Summary,Action_Level,Action_Classification,Status,Type,Device,Source,manufacturer_name,device_name
4886c143-4fe3-4473-93ab-927e9077cf88,10/05/20,JPN,serious injury detected in cardiac pacemaker,terminated,Hospital,Class 1,classified,safety alert,cardiac pacemaker,Health Canada,BioCare,cardiac pacemaker
d87eab80-1923-4d8b-82c2-8ff403dcbeee,07/06/24,CAN,malfunction detected in laser therapy unit,software update,Hospital,Class 2,open,safety alert,laser therapy unit,FDA,MediNova,laser therapy unit
115f7496-a90f-4c28-9f15-06954cf2f06d,17/10/20,BRA,cosmetic defect detected in catheter,recall,Sponsor Control,Class 3,terminated,field safety,catheter,PMDA,GlobalMed,catheter
b7e44e49-f657-455d-b05b-5078380b7922,13/10/23,JPN,performance issue detected in ultrasound machine,terminated,Hospital,Class 2,terminated,recall,ultrasound machine,MHRA,MediNova,ultrasound machine
f9dea218-5d3a-48b4-a7ba-f6e2b87ebcca,10/10/17,DEU,cosmetic defect detected in disposable glove,software update,Wholesale,Class 3,classified,safety alert,disposable glove,MHRA,BioCare,disposable glove
397472a5-4001-4351-b877-81f353097e88,28/04/18,MEX,quality problem detected in x-ray device,recall,Hospital,Class 2,open,safety alert,x-ray device,EMA,MediNova,x-ray device
902c8a45-2f00-49c5-b37c-ad5a97a88601,05/12/21,JPN,packaging detected in bandage,software update,Wholesale,Class 3,open,safety alert,bandage,EMA,GlobalMed,bandage
47f98bd1-da35-403d-abf3-f03bdd464289,03/10/16,IND,serious injury detected in defibrillator,terminated,Healthcare Professional,Class 1,terminated,field safety,defibrillator,MHRA,GlobalMed,defibrillator
ed69a112-f73c-4c96-9f61-81bbd06744ee,30/04/18,IND,packaging detected in catheter,software update,Wholesale,Class 3,open,field safety,catheter,EMA,MediNova,catheter
aedd4b15-ca4a-4ea4-adf3-602810d80b64,11/10/18,DEU,implant detected in cardiac pacemaker,terminated,Public Recall,Class 1,classified,field safety,cardiac pacemaker,EMA,MediNova,cardiac pacemaker
cf6b5d37-02a4-4a9a-bd76-e08f57e12bff,13/10/17,IND,implant detected in surgical implant,terminated,Healthcare Professional,Class 1,open,safety alert,surgical implant,FDA,MediNova,surgical implant
f80c973d-babb-4c36-8aa4-84d29d1c6c7d,07/10/20,FRA,instruction correction detected in disposable glove,software update,Retail,Class 3,classified,field safety,disposable glove,TGA,GlobalMed,disposable glove
a5d159fc-d441-4f4f-b414-996855074f89,30/03/16,IND,performance issue detected in laser therapy unit,software update,Sponsor Control,Class 2,open,recall,laser therapy unit,TGA,BioCare,laser therapy unit
8ee8b9f4-ee79-467a-b7b9-4ada5d16caf3,15/10/20,,malfunction detected in x-ray dezice,recall,Sponsor Control,Class 2,,safety alert,x-ray device,MHRA,GlobalMed,x-ray device
c4d70204-d141-4f59-9dc7-42f379d792d4,07/10/20,FRA,implant detected in defibrillator,recall,Public Recall,Class 1,open,recall,defibrillator,CDSCO,MediNova,defibrillator
6dd287ef-54a5-41eb-8f36-8d5b10a4b38c,05/12/17,AUS,cardiac detected in defibrillator,recall,Hospital,Class 1,terminated,safety alert,defibrillator,TGA,MediNova,defibrillator
18cad427-23e9-4bcd-85a0-bd101f5d6659,05/09/24,DEU,paperwork detected in syringe,software update,Sponsor Control,Class 3,classified,field safety,syringe,CDSCO,BioCare,syringe
6e5fc16b-fa04-4616-9fed-0874c13bc4f7,10/06/23,,deajh detected in defibrillator,terminated,Public Recall,Class 1,,safety alert,defibrillator,FDA,GlobalMed,defibrillator
a6d38083-f699-47ab-aa90-3f729948ab06,21/11/15,BRA,paperwork detected in syringe,recall,Wholesale,Class 3,classified,safety alert,syringe,MHRA,GlobalMed,syringe
0284406a-0e73-4955-bf73-11393150c403,06/07/20,,infection detecbed in infusion pump,recall,Hospital,Class 1,,field safety,infusion pump,PMDA,GlobalMed,infusion pump
cf4019b5-5571-4fca-8512-64e03f0cbe3a,21/03/20,IND,implant detected in defibrillator,terminated,Public Recall,Class 1,open,field safety,defibrillator,Health Canada,GlobalMed,defibrillator
