Event_ID,Date,Country,Reason,Action_Summary,Action_Level,Action_Classification,Status,Type,Device,Source,manufacturer_name,device_name
c5151ee6-4ca9-4c78-bb1d-a0075587813d,2022-02-16,IND,instruction correction detected in bandage,software update,Retail,Class 3,classified,safety alert,bandage,EMA,CardioPlus,bandage
16869,2017-02-20,USA,The Positive Control information referencing human plasma as the antibody material described in the product labeling and packaging is incorrect.,Recall,Hospital/Pharmacy/Laboratory,Class 3,Terminated,Recall,usa-device-recall-proadvantage-mono-rapid-test-cassette,U.S. Food and Drug Administration,,
4886c143-4fe3-4473-93ab-927e9077cf88,2020-05-10,JPN,serious injury detected in cardiac pacemaker,terminated,Hospital,Class 1,classified,safety alert,cardiac pacemaker,Health Canada,BioCare,cardiac pacemaker
fd185c37-031e-47a2-b55a-d15c9f32cca5,2020-06-22,AUS,cosmetic defect detected in bandage,recall,Wholesale,Class 3,open,recall,bandage,EMA,LifeSystems,bandage
122869,2017-02-20,AUS,"There is a possibility that screws holding an internal portion of the gantry (Reaction Ring) to the scanner’s main bearing may come loose. If this occurs, the part(s) will not be expelled, however, a noise may be heard coming from the gantry. There is no potential for harm to the patient or operator due to this issue.",Recall for Product Correction,Hospital/Pharmacy/Laboratory,Class III,Terminated,Recall,aus-brilliance-ict-model-728306-brilliance-ict-sp-model-728311-and-iqon-spectral-ct-model,"Department of Health, Therapeutic Goods Administration",,
0981d945-1e20-4043-a70a-81476ddcd73a,2022-09-04,USA,documentation update detected in dressing,recall,Wholesale,Class 3,terminated,safety alert,dressing,MHRA,HealthTech,dressing
d87eab80-1923-4d8b-82c2-8ff403dcbeee,2024-06-07,CAN,malfunction detected in laser therapy unit,software update,Hospital,Class 2,open,safety alert,laser therapy unit,FDA,MediNova,laser therapy unit
003af68a-dc19-45b7-bf11-e3c52f5e63e1,2017-11-07,DEU,instruction correction detected in syringe,software update,Sponsor Control,Class 3,open,recall,syringe,FDA,Meditech Corp,syringe
112169,2017-02-20,IRL,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,irl-thermoscientifictm-oxoidtm-columbia-blood-agar-base-cm0331-acdf6574-3bab-444a-b8f6-5a7977136afb,Health Products Regulatory Authority,,
115f7496-a90f-4c28-9f15-06954cf2f06d,2020-10-17,BRA,cosmetic defect detected in catheter,recall,Sponsor Control,Class 3,terminated,field safety,catheter,PMDA,GlobalMed,catheter
50360,2017-02-20,SWE,Device failure / Feature Before Use - Manufacturing,Recall/Exchange,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,swe-imager-ii-radiology-angiographic-catheter,Swedish Medical Products Agency,,
29bf37f1-0682-4978-8188-f4c0107c6c4a,2022-01-07,JPN,fatal detected in ventilator,terminated,Healthcare Professional,Class 1,open,safety alert,ventilator,Health Canada,CardioPlus,ventilator
16133,2017-02-20,USA,"The two sets of wires (4 total wires) exiting from the EMI filters were switched, creating a situation where a module that is intended to be de-energized will remain energized only if the associated AC power cord is unplugged.",Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,usa-device-recall-vitros-5600-integrated-system-031d010a,U.S. Food and Drug Administration,,
da1df142-efa2-4af7-90bd-c582d5526003,2018-02-28,JPN,paperwork detected in bandage,terminated,Wholesale,Class 3,open,safety alert,bandage,EMA,LifeSystems,bandage
7535,2016-09-28,ITA,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,ita-centrifuge-module-type-1020,Ministero della Salute (Health Ministry),,
b7e44e49-f657-455d-b05b-5078380b7922,2023-10-13,JPN,performance issue detected in ultrasound machine,terminated,Hospital,Class 2,terminated,recall,ultrasound machine,MHRA,MediNova,ultrasound machine
f9dea218-5d3a-48b4-a7ba-f6e2b87ebcca,2017-10-10,DEU,cosmetic defect detected in disposable glove,software update,Wholesale,Class 3,classified,safety alert,disposable glove,MHRA,BioCare,disposable glove
59390,2017-02-20,,The firm has received complaints that the locking ring that sits in the head of the screw can come out of the screw head when engaged with the screwdriver if the screwdriver is impropzrly angled.,Recall,Hospital/Pharmacy/Laboratory,Class 2,,Recall,usa-device-recall-quintex-cervical-plating-system-screws,U.S. Food and Drug Administration,,
f726a763-a942-49da-9295-fa06e3c603f8,2022-05-01,MEX,documentation update detected in syringe,software update,Retail,Class 3,classified,field safety,syringe,FDA,LifeSystems,syringe
397472a5-4001-4351-b877-81f353097e88,2018-04-28,MEX,quality problem detected in x-ray device,recall,Hospital,Class 2,open,safety alert,x-ray device,EMA,MediNova,x-ray device
902c8a45-2f00-49c5-b37c-ad5a97a88601,2021-12-05,JPN,packaging detected in bandage,software update,Wholesale,Class 3,open,safety alert,bandage,EMA,GlobalMed,bandage
6d9ed1d7-0476-4bb0-9f21-01ef0e67a6d8,2025-03-10,FRA,malfunction detected in diagnostic monitor,recall,Sponsor Control,Class 2,terminated,field safety,diagnostic monitor,PMDA,HealthTech,diagnostic monitor
47f98bd1-da35-403d-abf3-f03bdd464289,2016-10-03,IND,serious injury detected in defibrillator,terminated,Healthcare Professional,Class 1,terminated,field safety,defibrillator,MHRA,GlobalMed,defibrillator
4686,2017-02-20,NZL,The manufacturer has confirmed that the lots of AQC have been incorrectly value assigned resulting in a +8 g/L bias for Level 1 tHb on RAPIDPoint 400/405/500 systems. Some users are reporting higher than expected results for this AQC level,Correction,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,nzl-automaticqc-cartridge-positive-bias-thb-level-1-aqc,New Zealand Medicines and Medical Devices Safety Authority,,
ab000a34-3816-4f26-b353-9c665b2cb44f,2018-08-09,CAN,instruction correction detected in bandage,software update,Retail,Class 3,terminated,field safety,bandage,Health Canada,HealthTech,bandage
37cf5de7-cf3b-4b70-8934-af7a3d2f604c,2021-07-18,USA,packaging detected in catheter,recall,Retail,Class 3,terminated,field safety,catheter,EMA,Meditech Corp,catheter
88367985-a5a2-4ae4-877d-570ac77084a1,2024-03-18,DEU,packaging detected in catheter,recall,Retail,Class 3,terminated,recall,catheter,PMDA,LifeSystems,catheter
2992,2017-02-20,NZL,"When the defibrillator operates on battery and the remaining battery power is zero, the battery mark becomes ""0"", the charge battery message appears and an alarm sounds. If this occurs and the battery isn't replaced with charged battery or the defibrillator is not connected to AC power, the mother board might become damaged and the defibrillator might not work.",Correction,Retail,Class 2,Terminated,Recall,nzl-nihon-kohden-automatic-external-defibrillator,New Zealand Medicines and Medical Devices Safety Authority,,
ed69a112-f73c-4c96-9f61-81bbd06744ee,2018-04-30,IND,packaging detected in catheter,software update,Wholesale,Class 3,open,field safety,catheter,EMA,MediNova,catheter
aedd4b15-ca4a-4ea4-adf3-602810d80b64,2018-10-11,DEU,implant detected in cardiac pacemaker,terminated,Public Recall,Class 1,classified,field safety,cardiac pacemaker,EMA,MediNova,cardiac pacemaker
cf6b5d37-02a4-4a9a-bd76-e08f57e12bff,2017-10-13,IND,implant detected in surgical implant,terminated,Healthcare Professional,Class 1,open,safety alert,surgical implant,FDA,MediNova,surgical implant
b2d033ac-0f25-49fe-bd24-fea7508f59a1,2017-08-23,MEX,serious injury detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,terminated,safety alert,cardiac pacemaker,TGA,LifeSystems,cardiac pacemaker
a886a8e6-6449-43e1-8b99-31d2d93194d8,2016-06-19,CHN,explosion detected in surgical implant,terminated,Hospital,Class 1,terminated,field safety,surgical implant,CDSCO,LifeSystems,surgical implant
4a680dcf-0d6b-4bbb-b51d-08d9dbe1940c,2020-01-23,USA,cosmetic defect detected in dressing,software update,Retail,Class 3,terminated,safety alert,dressing,CDSCO,HealthTech,dressing
94218,2017-02-20,,A SERIES OF EVENTS COULD CAUSE THE LAST IMAGE TO BE STORED WITH THE NdiT NEW PATIENT PERFORMED L TESLIA MASS 2 MEASUREMENT LuBEL APPEARS IN THE REPORT IN ENGLISH ONLY MORE THAN 4 MEASUREMENzS MAY PRINT.,Recall,Hospital/Pharmacy/Laboratory,III,,Recall,can-acuson-s2000-diagnostic-ultrasound-system-main-unit-03390111,Health Canada (via FOI),,
085d6619-47e7-4ad9-990d-f63c1c863c6a,2018-01-05,,serious injury yetected in defibrillator,recall,Public Recall,Class 1,,safety alert,defibrillator,EMA,CardioPlus,defibrillator
11678,2010-10-11,FRA,Device failure / Feature Before Use - Manufacturing,8731SC Intrathecal Catheter Kits and 8598A Intrathecal Catheter Overhaul Kits for Implantable Pump - Medtronic - Batch Removing,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,fra-8731sc-intrathecal-catheter-kits-and-8598a-intrathecal-catheter-overhaul-kits-for-implantable-pump,L’Agence nationale de sécurité du médicament et des produits de santé (ANSM),,
0e9d0433-ac80-42ef-9dfe-9dae053f36c8,2017-03-14,CHN,cosmetic defect detected in bandage,software update,Retail,Class 3,terminated,recall,bandage,PMDA,Meditech Corp,bandage
8d26b204-dd1c-4842-b66b-490d7f68f2eb,2023-01-19,CHN,explosion detected in defibrillator,recall,Healthcare Professional,Class 1,terminated,safety alert,defibrillator,FDA,LifeSystems,defibrillator
bcf21f88-0311-4138-9354-27baab753996,2022-01-07,DEU,paperwork detected in catheter,software update,Sponsor Control,Class 3,classified,safety alert,catheter,PMDA,HealthTech,catheter
549e6fa5-1db4-49ae-8219-fa56c72779dc,2018-07-27,IND,cosmetic defect detected in dressing,software update,Retail,Class 3,classified,field safety,dressing,MHRA,Meditech Corp,dressing
f80c973d-babb-4c36-8aa4-84d29d1c6c7d,2020-10-07,FRA,instruction correction detected in disposable glove,software update,Retail,Class 3,classified,field safety,disposable glove,TGA,GlobalMed,disposable glove
7194ee92-22f8-4316-a0e9-1ca547cfa52f,2020-11-14,CHN,paperwork detected in disposable glove,terminated,Sponsor Control,Class 3,terminated,recall,disposable glove,FDA,LifeSystems,disposable glove
